date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean
2024-01-01 03:00:00+00:00,51.0,27.939999,21.84,24.854582
2024-01-02 03:00:00+00:00,51.0,29.84,22.99,25.885834
2024-01-03 03:00:00+00:00,63.0,30.189999,23.189999,26.223335
2024-01-04 03:00:00+00:00,61.0,28.84,23.539999,24.869164
2024-01-05 03:00:00+00:00,51.0,28.14,23.189999,25.183752
2024-01-06 03:00:00+00:00,51.0,28.789999,23.189999,25.402502
2024-01-07 03:00:00+00:00,3.0,31.039999,21.439999,25.98375
2024-01-08 03:00:00+00:00,1.0,34.84,22.689999,28.96292
2024-01-09 03:00:00+00:00,51.0,35.09,24.99,29.317085
2024-01-10 03:00:00+00:00,53.0,35.239998,24.39,29.946245
2024-01-11 03:00:00+00:00,63.0,37.19,24.539999,29.427498
2024-01-12 03:00:00+00:00,63.0,34.64,25.34,28.158754
2024-01-13 03:00:00+00:00,63.0,28.39,24.09,25.600418
2024-01-14 03:00:00+00:00,63.0,27.34,23.39,25.183752
2024-01-15 03:00:00+00:00,2.0,34.79,23.14,28.783752
2024-01-16 03:00:00+00:00,53.0,37.14,24.939999,30.57125
2024-01-17 03:00:00+00:00,55.0,37.989998,26.74,31.344162
2024-01-18 03:00:00+00:00,53.0,32.64,26.289999,29.27542
2024-01-19 03:00:00+00:00,63.0,31.34,25.89,28.227495
2024-01-20 03:00:00+00:00,65.0,34.89,25.289999,29.975416
2024-01-21 03:00:00+00:00,63.0,29.439999,23.59,26.221254
2024-01-22 03:00:00+00:00,53.0,27.689999,23.64,25.17125
2024-01-23 03:00:00+00:00,63.0,25.439999,20.039999,23.24
2024-01-24 03:00:00+00:00,63.0,24.74,19.34,22.010834
2024-01-25 03:00:00+00:00,53.0,26.74,21.939999,24.121252
2024-01-26 03:00:00+00:00,55.0,25.59,22.59,23.865
2024-01-27 03:00:00+00:00,55.0,27.59,22.939999,24.829582
2024-01-28 03:00:00+00:00,63.0,28.689999,23.14,25.28167
2024-01-29 03:00:00+00:00,51.0,29.689999,22.49,26.004583
2024-01-30 03:00:00+00:00,51.0,31.439999,22.74,26.9775
2024-01-31 03:00:00+00:00,61.0,30.49,24.14,26.621252
2024-02-01 03:00:00+00:00,61.0,29.39,23.09,25.908752
2024-02-02 03:00:00+00:00,53.0,27.289999,23.49,25.002497
2024-02-03 03:00:00+00:00,2.0,30.64,22.789999,26.227499
2024-02-04 03:00:00+00:00,53.0,31.34,23.939999,27.027496
2024-02-05 03:00:00+00:00,3.0,31.939999,23.59,27.123335
2024-02-06 03:00:00+00:00,1.0,30.34,23.939999,26.783747
2024-02-07 03:00:00+00:00,51.0,31.09,22.689999,26.733747
2024-02-08 03:00:00+00:00,51.0,31.439999,23.59,27.129587
2024-02-09 03:00:00+00:00,53.0,32.489998,22.789999,27.192078
2024-02-10 03:00:00+00:00,53.0,33.59,21.89,27.435831
2024-02-11 03:00:00+00:00,51.0,34.989998,23.439999,29.096247
2024-02-12 03:00:00+00:00,1.0,36.59,25.039999,30.156668
2024-02-13 03:00:00+00:00,51.0,37.489998,24.789999,30.53167
2024-02-14 03:00:00+00:00,53.0,32.79,25.14,27.544172
2024-02-15 03:00:00+00:00,63.0,27.84,23.789999,25.244165
2024-02-16 03:00:00+00:00,51.0,28.289999,23.039999,25.523333
2024-02-17 03:00:00+00:00,51.0,28.84,23.34,25.748331
2024-02-18 03:00:00+00:00,51.0,30.439999,23.99,26.273333
2024-02-19 03:00:00+00:00,53.0,30.439999,22.939999,25.783752
2024-02-20 03:00:00+00:00,63.0,29.789999,22.99,25.671247
2024-02-21 03:00:00+00:00,65.0,29.84,23.64,25.77125
2024-02-22 03:00:00+00:00,51.0,32.24,23.99,27.723335
2024-02-23 03:00:00+00:00,51.0,32.989998,25.24,28.860834
2024-02-24 03:00:00+00:00,51.0,34.739998,25.539999,29.342085
2024-02-25 03:00:00+00:00,51.0,31.84,25.14,28.14
2024-02-26 03:00:00+00:00,55.0,29.39,24.89,26.698336
2024-02-27 03:00:00+00:00,51.0,31.64,23.99,27.60875
2024-02-28 03:00:00+00:00,51.0,34.59,24.89,28.823334
2024-02-29 03:00:00+00:00,63.0,31.539999,25.189999,28.071249
2024-03-01 03:00:00+00:00,63.0,31.439999,24.539999,26.698328
2024-03-02 03:00:00+00:00,51.0,29.09,22.84,25.492083
2024-03-03 03:00:00+00:00,0.0,31.789999,19.939999,25.53583
2024-03-04 03:00:00+00:00,0.0,33.79,19.74,26.71083
2024-03-05 03:00:00+00:00,63.0,35.04,22.539999,27.735834
2024-03-06 03:00:00+00:00,65.0,28.789999,24.189999,25.767084
2024-03-07 03:00:00+00:00,51.0,29.289999,23.939999,26.177498
2024-03-08 03:00:00+00:00,51.0,29.039999,24.289999,26.427504
2024-03-09 03:00:00+00:00,51.0,32.44,23.789999,27.97125
2024-03-10 03:00:00+00:00,63.0,31.89,24.64,27.2275
2024-03-11 03:00:00+00:00,53.0,28.74,23.84,25.742083
2024-03-12 03:00:00+00:00,51.0,28.74,22.439999,25.075418
2024-03-13 03:00:00+00:00,51.0,29.789999,21.74,25.454588
2024-03-14 03:00:00+00:00,1.0,31.89,20.84,26.031668
2024-03-15 03:00:00+00:00,3.0,35.19,22.14,27.752502
2024-03-16 03:00:00+00:00,1.0,36.69,22.89,29.687918
2024-03-17 03:00:00+00:00,1.0,38.64,24.39,30.396254
2024-03-18 03:00:00+00:00,51.0,33.09,25.74,28.621252
