Date,Day of Week,Name
2024-01-01,Segunda-feira,Dia de Ano Novo
2024-02-12,Segunda-feira,Carnaval
2024-02-13,Terça-feira,Carnaval
2024-03-29,Sexta-feira,Sexta-feira Santa
2024-03-31,Domingo,Domingo de Páscoa
2024-04-21,Domingo,Tiradentes
2024-05-01,Quarta-feira,Dia do Trabalho
2024-05-30,Quinta-feira,Corpo de Cristo
2024-09-07,Sábado,Dia da Independência
2024-10-12,Sábado,Nossa Senhora Aparecida
2024-11-02,Sábado,Dia de Finados
2024-11-15,Sexta-feira,Dia da Proclamação da República
2024-12-25,Quarta-feira,Dia de Natal
